date,location,cases,disease_type
2005-01-01,Hyderabad,149,Dengue
2005-01-01,Hyderabad,111,Typhoid
2005-01-01,Hyderabad,158,Malaria
2005-01-01,Vijayawada,211,Flu
2005-01-01,Vijayawada,105,Flu
2005-01-01,Vijayawada,105,Dengue
2005-01-01,Visakhapatnam,214,Dengue
2005-01-01,Visakhapatnam,166,Dengue
2005-01-01,Visakhapatnam,91,Malaria
2005-01-01,Visakhapatnam,152,Flu
2005-01-01,Visakhapatnam,92,Flu
2005-01-01,Visakhapatnam,92,Flu
2005-01-01,Tirupati,134,Malaria
2005-01-01,Tirupati,5,Flu
2005-01-01,Tirupati,16,Flu
2005-01-01,Tirupati,86,Dengue
2005-01-01,Tirupati,59,Flu
2005-01-01,Tirupati,138,Flu
2005-01-01,Guntur,65,Typhoid
2005-01-01,Guntur,35,Malaria
2005-01-01,Guntur,207,Flu
2005-01-01,Guntur,106,Malaria
2005-01-01,Guntur,124,Chikungunya
2005-01-01,Kurnool,34,Flu
2005-01-01,Kurnool,87,Flu
2005-01-01,Kurnool,126,Flu
2005-01-01,Kurnool,50,Flu
2005-01-01,Kurnool,142,Flu
2005-01-01,Nellore,83,Dengue
2005-01-01,Nellore,102,Typhoid
2005-01-01,Nellore,83,Flu
2005-01-01,Nellore,231,Flu
2005-01-01,Nellore,119,Chikungunya
2005-01-01,Nellore,56,Malaria
2005-01-01,Rajahmundry,169,Dengue
2005-01-01,Rajahmundry,46,Malaria
2005-01-01,Rajahmundry,132,Typhoid
2005-02-01,Hyderabad,5,Flu
2005-02-01,Hyderabad,40,Flu
2005-02-01,Hyderabad,131,Chikungunya
2005-02-01,Vijayawada,164,Flu
2005-02-01,Vijayawada,130,Chikungunya
2005-02-01,Vijayawada,113,Chikungunya
2005-02-01,Vijayawada,101,Malaria
2005-02-01,Vijayawada,31,Typhoid
2005-02-01,Vijayawada,76,Flu
2005-02-01,Visakhapatnam,92,Flu
2005-02-01,Visakhapatnam,183,Malaria
2005-02-01,Visakhapatnam,140,Flu
