date,location,sales_volume,medicine
2005-01-01,Hyderabad,50,Paracetamol
2005-01-01,Hyderabad,117,ORS
2005-01-01,Hyderabad,177,Antibiotics
2005-01-01,Hyderabad,186,Chloroquine
2005-01-01,Hyderabad,22,Antibiotics
2005-01-01,Vijayawada,398,Vitamin C
2005-01-01,Vijayawada,187,Antibiotics
2005-01-01,Vijayawada,204,Chloroquine
2005-01-01,Vijayawada,308,Paracetamol
2005-01-01,Vijayawada,105,ORS
2005-01-01,Vijayawada,254,ORS
2005-01-01,Visakhapatnam,155,Chloroquine
2005-01-01,Visakhapatnam,92,Antibiotics
2005-01-01,Visakhapatnam,328,Paracetamol
2005-01-01,Visakhapatnam,439,Vitamin C
2005-01-01,Visakhapatnam,286,ORS
2005-01-01,Visakhapatnam,310,ORS
2005-01-01,Visakhapatnam,137,ORS
2005-01-01,Tirupati,20,Antibiotics
2005-01-01,Tirupati,378,Antibiotics
2005-01-01,Tirupati,446,Antibiotics
2005-01-01,Tirupati,385,Antibiotics
2005-01-01,Tirupati,159,ORS
2005-01-01,Tirupati,121,Paracetamol
2005-01-01,Guntur,72,Antibiotics
2005-01-01,Guntur,20,Chloroquine
2005-01-01,Guntur,187,ORS
2005-01-01,Guntur,452,Paracetamol
2005-01-01,Guntur,183,ORS
2005-01-01,Kurnool,236,Antibiotics
2005-01-01,Kurnool,365,Chloroquine
2005-01-01,Kurnool,211,Vitamin C
2005-01-01,Kurnool,444,Chloroquine
2005-01-01,Kurnool,499,Vitamin C
2005-01-01,Kurnool,184,Chloroquine
2005-01-01,Nellore,190,Vitamin C
2005-01-01,Nellore,343,Vitamin C
2005-01-01,Nellore,158,ORS
2005-01-01,Rajahmundry,121,Vitamin C
2005-01-01,Rajahmundry,413,Vitamin C
2005-01-01,Rajahmundry,405,Paracetamol
2005-01-01,Rajahmundry,278,Paracetamol
2005-02-01,Hyderabad,108,Paracetamol
2005-02-01,Hyderabad,52,ORS
2005-02-01,Hyderabad,212,ORS
2005-02-01,Hyderabad,200,Vitamin C
2005-02-01,Hyderabad,219,Paracetamol
2005-02-01,Hyderabad,382,Paracetamol
2005-02-01,Vijayawada,287,Chloroquine
2005-02-01,Vijayawada,365,ORS
2005-02-01,Vijayawada,141,Vitamin C
2005-02-01,Vijayawada,158,Chloroquine
